公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2430,燦坤實業,2394097,1834545,2601001,30.5,-7.95,9552370,9686542,-1.38
2459,敦吉,705600,562126,648236,25.52,8.84,2060701,2205003,-6.54
3010,華立,2165970,2521347,1586212,-14.09,36.54,8613357,5653830,52.34
3028,增你強,2722211,2859461,2298959,-4.79,18.41,10101227,8359240,20.83
3033,威健,1544918,1769898,1633825,-12.71,-5.44,6050032,5558041,8.85
3036,文曄科技,5567147,5835633,4580837,-4.6,21.53,20979825,17157570,22.27
3040,遠見,12136,17893,20569,-32.17,-40.99,54580,72301,-24.51
3048,益登,2008403,2182694,3511778,-7.98,-42.8,8064690,12180906,-33.79
3055,蔚華科技,400893,417156,528391,-3.89,-24.12,1305223,1892914,-31.04
3209,全科,774263,797016,825594,-2.85,-6.21,3125501,2804787,11.43
3312,弘憶國際,981937,1186005,871493,-17.2,12.67,3897263,3792608,2.75
3315,宣昶,520523,578737,693273,-10.05,-24.91,1946020,2837931,-31.42
3702,大聯大,572198,705779,532681,-18.92,7.41,1976445,1863429,6.06
5434,崇越科技,1319190,1248283,946334,5.68,39.4,4844572,3452080,40.33
6189,豐藝電子,1552646,1763167,1793863,-11.93,-13.44,5893973,6235751,-5.48
6281,全國電,924899,742305,896866,24.59,3.12,3988797,3955345,0.84
8070,長華電材,1009984,1056577,1058027,-4.4,-4.54,3843408,4276512,-10.12
8112,至上電子,2318875,3407115,3157491,-31.94,-26.55,10361492,13023128,-20.43
2427,三商電腦,93649,203455,95045,-53.97,-1.46,601350,429416,40.03
2453,凌群,133829,348045,263693,-61.54,-49.24,835059,981752,-14.94
2468,華經,97484,142568,146835,-31.62,-33.6,411880,496912,-17.11
2471,資通,33506,64900,69354,-48.37,-51.68,207077,240771,-13.99
2480,敦陽科技,323556,332272,312476,-2.62,3.54,1274711,1194818,6.68
3021,衛展資訊,44648,38423,38189,16.2,16.91,148270,165205,-10.25
3029,零壹科技,282196,330522,256244,-14.62,10.12,1182167,1037420,13.95
3130,一零四,88101,98400,87202,-10.46,1.03,352619,306461,15.06
5203,訊連,124880,384701,144311,-67.53,-13.46,742812,894175,-16.92
6112,聚碩,403624,459002,335339,-12.06,20.36,1639450,1236066,32.63
6183,關貿,75484,77428,89702,-2.51,-15.85,280107,299318,-6.41
6214,精誠資訊,676962,1025895,512860,-34.01,31.99,3031355,2585904,17.22
2312,金寶電子,1131166,1379034,1799152,-17.97,-37.12,5532262,6924251,-20.1
2317,鴻海,204940425,214899498,153858517,-4.63,33.2,758952375,568631625,33.46
2354,鴻準,6831982,9859952,6732824,-30.7,1.47,32062996,31075252,3.17
2360,致茂電子,581963,603711,423442,-3.6,37.43,2046650,1597393,28.12
2371,大同,3343495,3502656,3404934,-4.54,-1.8,12724023,12276791,3.64
2373,震旦行,236497,243733,208674,-2.96,13.33,921505,822164,12.08
2390,云辰,54081,54610,66117,-0.96,-18.2,179115,241098,-25.7
2404,漢唐,860849,814912,624243,5.63,37.9,2656319,1709633,55.37
2423,固緯,104807,140623,107843,-25.46,-2.81,476704,427126,11.6
2433,互盛電,116003,115552,112145,0.39,3.44,439137,424401,3.47
2461,光群雷射,26428,39793,46887,-33.58,-43.63,127963,170423,-24.91
2464,盟立,567630,560743,386360,1.22,46.91,2215727,1481703,49.53
2477,美隆電,280141,264057,283339,6.09,-1.12,1072106,979117,9.49
2482,連宇,67189,71192,68854,-5.62,-2.41,273625,243064,12.57
2488,漢平,94142,95741,108903,-1.67,-13.55,361111,384704,-6.13
2495,普安,177731,158420,183919,12.18,-3.36,739158,791146,-6.57
2497,怡利電子,86007,94521,74408,-9.0,15.58,314217,214846,46.25
3018,同開科技,119581,99775,10726,19.85,1014.87,394675,143873,174.32
3030,德律科技,302004,280462,342699,7.68,-11.87,1165252,1089768,6.92
3043,科風,399550,442890,441054,-9.78,-9.41,1817948,1276203,42.44
3052,夆典,126876,146270,120664,-13.25,5.14,516440,743279,-30.51
3305,昇貿科技,360951,290177,260417,24.38,38.6,1276084,1030515,23.82
3450,聯鈞,230560,224111,180376,2.87,27.82,846191,694134,21.9
3518,柏騰科技,10495,9323,19121,12.57,-45.11,120194,71893,67.18
3617,碩天科技,166749,185683,265697,-10.19,-37.24,688289,795590,-13.48
6139,亞翔工程,594972,353413,285108,68.35,108.68,1492081,873640,70.78
6192,巨路國際,422441,415171,408721,1.75,3.35,1521301,1360365,11.83
6196,帆宣科技,613365,849256,509590,-27.77,20.36,3147064,1536152,104.86
6197,佳必琪,251275,240916,326613,4.29,-23.06,857157,1374097,-37.62
6201,亞弘電,304883,343462,348085,-11.23,-12.41,1168225,1289987,-9.43
6215,和椿科技,127313,147132,109266,-13.47,16.51,482479,434700,10.99
8021,尖點,89790,91946,112631,-2.34,-20.27,370884,339809,9.14
8201,無敵,144008,147255,249080,-2.2,-42.18,605405,909538,-33.43
合計,合計,967913332,1068675629,947418260,-9.42,2.16,3730673668,3557922568,4.85
