公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2347,聯強國際,5646377,5771373,4762364,-2.16,18.56,31578591,29058959,8.67
2348,海悅,13078,14557,15600,-10.16,-16.16,89190,137584,-35.17
2414,精技電腦,1144601,1106869,1154910,3.4,-0.89,6374065,6064731,5.1
2430,燦坤實業,2233857,2131620,2214327,4.79,0.88,14396725,13858481,3.88
2459,敦吉,835829,819255,723289,2.02,15.55,4114581,3478874,18.27
3010,華立,2229845,1908345,1933382,16.84,15.33,11834462,12510669,-5.4
3028,增你強,1302446,1436664,2073863,-9.34,-37.19,8008074,14486228,-44.71
3033,威健,1416072,1238647,1726065,14.32,-17.95,7763617,9323391,-16.72
3036,文曄科技,5211831,5488005,4900819,-5.03,6.34,30073433,31166034,-3.5
3040,遠見,6081,9636,12869,-36.89,-52.74,44232,81448,-45.69
3048,益登,1890277,2212142,1820573,-14.54,3.82,11274645,11646254,-3.19
3055,蔚華科技,332519,304786,291154,9.09,14.2,1163102,1946168,-40.23
3209,全科,875701,842484,774201,3.94,13.11,4938149,4628263,6.69
3312,弘憶國際,1066411,1244459,1073314,-14.3,-0.64,6337561,5948861,6.53
3315,宣昶,383015,464712,423291,-17.58,-9.51,2603674,2818720,-7.62
3702,大聯大,518367,486469,498920,6.55,3.89,2513911,2981852,-15.69
5434,崇越科技,1302971,1225572,1147790,6.31,13.51,6868787,7105579,-3.33
6145,勁永國際,162771,209467,482345,-22.29,-66.25,1439181,3524194,-59.16
6189,豐藝電子,1503588,1695916,1547800,-11.34,-2.85,9029285,8951465,0.86
6281,全國電,1396588,1273075,1346434,9.7,3.72,7677110,6446282,19.09
8070,長華電材,833093,876319,978872,-4.93,-14.89,4998532,5794078,-13.73
8112,至上電子,1154881,1239025,1173080,-6.79,-1.55,8485180,14218537,-40.32
合計,合計,31460199,31999397,31075262,-1.68,1.23,181606087,196176652,-7.42
