公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1802,台玻,3589671,3293549,3644730,8.99,-1.51,22672838,23644160,-4.1,-
1806,冠軍,533069,600595,618459,-11.24,-13.8,3447010,3843481,-10.31,-
1809,中釉,220373,262606,329432,-16.08,-33.1,1644076,2066661,-20.44,-
1810,和成,468388,596194,501213,-21.43,-6.54,3409100,3513743,-2.97,-
1817,凱撒衛,179465,173486,172388,3.44,4.1,1197735,1052869,13.75,-
合計,合計,4990966,4926430,5266222,1.3,-5.22,32370759,34120914,-5.12,
