Date,Open,High,Low,Close,Adj Close,Volume
2005-12-20,387.014008,432.595001,387.014008,429.154999,379.087860,5264929
2005-12-21,429.154999,429.154999,412.815002,418.834991,369.971802,1896444
2005-12-22,373.118988,382.407990,373.118988,380.085999,335.743408,1293106
2005-12-23,425.714996,426.575012,417.975006,422.704987,373.390289,1180191
2005-12-26,380.472992,386.665009,379.311005,381.634003,337.110809,1437790
2005-12-27,423.994995,425.714996,396.473999,407.653992,360.095215,1552270
2005-12-28,399.914001,405.074005,398.194000,401.634003,354.777557,727881
2005-12-29,403.354004,410.234985,400.773987,400.773987,354.017883,1066241
2005-12-30,396.473999,399.053986,384.433990,391.313995,345.661499,1812726
2006-01-02,382.713989,387.014008,379.273010,382.713989,338.064850,794158
2006-01-03,382.713989,409.375000,382.713989,409.375000,361.615448,1322046
2006-01-04,414.535004,420.554993,396.473999,396.903992,350.599335,1163912
2006-01-05,401.204010,410.234985,401.204010,407.653992,360.095215,955780
2006-01-06,409.375000,417.114990,408.514008,408.945007,361.235626,1383672
2006-01-09,412.385010,414.535004,400.773987,404.213989,357.056549,489518
2006-01-10,397.334015,398.194000,387.014008,389.593994,344.142181,960431
2006-01-11,389.593994,389.593994,380.134003,382.713989,338.064850,415102
2006-01-12,383.574005,387.014008,381.854004,385.294006,340.343872,394172
2006-01-13,385.294006,385.294006,359.493011,362.072998,319.831909,1087171
2006-01-16,361.213013,361.213013,337.992004,346.161987,305.777130,1290652
2006-01-17,344.872009,359.062988,342.291992,344.011993,303.878021,1089496
2006-01-18,333.691986,337.992004,319.931000,319.931000,282.606415,1037172
2006-01-19,319.931000,323.371002,297.571014,302.730988,267.412994,1781332
2006-01-20,308.751007,309.610992,287.250000,288.109985,254.497742,1156936
2006-01-23,279.510010,279.510010,268.329987,272.630005,240.823715,1095310
2006-01-24,276.070007,291.549988,273.489990,291.549988,257.536438,593002
2006-01-25,311.330994,311.760986,305.311005,311.760986,275.389526,523237
2006-02-03,328.532013,330.252014,313.911011,317.781006,280.707214,1167400
2006-02-06,316.490997,316.490997,307.890991,314.341003,277.668549,515098
2006-02-07,316.490997,336.272003,313.911011,336.272003,297.040985,597653
2006-02-08,333.691986,334.552002,322.941010,325.522003,287.545105,813925
2006-02-09,334.552002,334.552002,312.191010,315.631012,278.808044,619745
2006-02-10,313.050995,313.911011,301.010986,301.010986,265.893677,499982
2006-02-13,279.940002,287.250000,279.940002,279.940002,247.280899,822064
2006-02-14,274.350006,288.970001,274.350006,288.109985,254.497742,672069
2006-02-15,289.829987,294.989990,280.369995,280.369995,247.660767,620908
2006-02-16,281.230011,287.250000,281.230011,282.089996,249.180099,581375
2006-02-17,288.109985,288.109985,282.519989,282.950012,249.939789,341848
2006-02-20,282.950012,282.950012,273.059998,275.640015,243.482620,377894
2006-02-21,275.640015,279.510010,275.209991,276.070007,243.862411,283711
2006-02-22,275.209991,276.929993,264.889008,264.889008,233.985855,540678
2006-02-23,264.889008,274.350006,262.308990,270.480011,238.924591,365103
2006-02-24,274.350006,279.079987,270.910004,276.070007,243.862411,406962
2006-02-27,285.529999,294.989990,279.510010,291.549988,257.536438,1142983
2006-03-01,289.829987,301.871002,284.670013,296.710999,262.095337,1092984
2006-03-02,299.290985,301.010986,290.690002,290.690002,256.776764,468588
2006-03-03,286.390015,294.989990,283.809998,284.239990,251.079269,422078
2006-03-06,287.250000,296.710999,283.809998,295.420990,260.955780,344174
2006-03-07,294.130005,294.130005,286.390015,286.390015,252.978455,298827
2006-03-08,286.390015,291.549988,285.529999,288.109985,254.497742,295338
2006-03-09,290.690002,291.549988,283.809998,283.809998,250.699417,199993
2006-03-10,283.809998,285.529999,273.489990,276.070007,243.862411,267432
2006-03-13,275.209991,281.230011,275.209991,277.790009,245.381775,226736
2006-03-14,275.209991,285.529999,275.209991,280.369995,247.660767,281385
2006-03-15,280.369995,282.950012,275.209991,276.929993,244.622101,483704
2006-03-16,277.790009,296.281006,277.790009,295.420990,260.955780,1102286
2006-03-17,291.119995,294.130005,283.809998,286.390015,252.978455,688348
2006-03-20,290.690002,294.989990,286.390015,288.970001,255.257416,640675
2006-03-21,290.690002,291.549988,268.760010,270.049988,238.544724,912758
