公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2347,聯強國際,4997073,5026660,5733198,-0.58,-12.83,4997073,5773198,-13.44
2348,海悅,13490,18454,26586,-26.89,-49.25,13490,26586,-49.25
2414,精技電腦,983336,1343735,1084271,-26.82,-9.3,983336,1084271,-9.3
2430,燦坤實業,3281929,2416336,3123561,35.82,5.07,3281929,3123561,5.07
2459,敦吉,602378,607795,435354,-0.89,38.36,602378,435354,38.36
3010,華立,1650468,1671362,2085181,-1.25,-20.84,1650468,2085181,-20.84
3028,增你強,1160009,1798157,2814787,-35.48,-58.78,1160009,2814787,-58.78
3033,威健,987444,1430951,1609583,-30.99,-38.65,987444,1609583,-38.65
3036,文曄科技,4250684,4902307,5342955,-13.29,-20.44,4250684,5342955,-20.44
3040,遠見,7704,11041,12073,-30.22,-36.18,7704,12073,-36.18
3048,益登,1687715,2085748,2474803,-19.08,-31.8,1687715,2474803,-31.8
3055,蔚華科技,127778,120523,197640,6.01,-35.34,127778,197640,-35.34
3209,全科,607671,710433,922808,-14.46,-34.14,607671,922808,-34.14
3312,弘憶國際,731284,1095448,962241,-33.24,-24.0,731284,962241,-24.0
3315,宣昶,356544,404874,530860,-11.93,-32.83,356544,530860,-32.83
3702,大聯大,162060,260491,424630,-37.78,-61.83,162060,424630,-61.83
5434,崇越科技,958618,1019889,1165083,-6.0,-17.72,958618,1165083,-17.72
6145,勁永國際,243344,307769,727161,-20.93,-66.53,243344,727161,-66.53
6189,豐藝電子,1090356,1519270,1506853,-28.23,-27.64,1090356,1506853,-27.64
6281,全國電,1657007,1024380,1382175,61.75,19.88,1657007,1382175,19.88
8070,長華電材,715576,770750,969558,-7.15,-26.19,715576,969558,-26.19
8112,至上電子,1661012,1496225,2944103,11.01,-43.58,1661012,2944103,-43.58
合計,合計,27933480,30042598,36475464,-7.02,-23.41,27933480,36515464,-23.5
