公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2312,金寶電子,2400026,2560630,2043141,-6.27,17.46,26126555,23647118,10.48
2317,鴻海,244683538,231780610,133122131,5.56,83.8,2313129125,1420573052,62.83
2354,鴻準,6211582,10490793,10588564,-40.79,-41.33,95920463,115794639,-17.16
2360,致茂電子,368142,404134,437381,-8.9,-15.83,5639763,3444288,63.74
2371,大同,3152104,3214584,2711149,-1.94,16.26,38608612,30263971,27.57
2373,震旦行,265872,258978,239972,2.66,10.79,2718479,2597055,4.67
2390,云辰,40728,37453,78971,8.74,-48.42,927372,793609,16.85
2404,漢唐,543711,818311,347462,-33.55,56.48,8021012,2869119,179.56
2423,固緯,163216,166407,108732,-1.91,50.1,1520353,1172452,29.67
2433,互盛電,120637,116773,118919,3.3,1.44,1341376,1248183,7.46
2461,光群雷射,56401,39477,42485,42.87,32.75,506604,436737,15.99
2464,盟立,682748,555178,377318,22.97,80.94,5510371,3212928,71.5
2477,美隆電,377475,382408,275181,-1.28,37.17,3798739,3069081,23.77
2482,連宇,88904,78674,70927,13.0,25.34,903622,934714,-3.32
2488,漢平,114851,126368,119158,-9.11,-3.61,1484250,1353584,9.65
2495,普安,208785,201296,174925,3.72,19.35,2142616,2079853,3.01
2497,怡利電子,100620,100078,43329,0.54,132.22,871938,540785,61.23
3018,同開科技,129348,96655,86721,33.82,49.15,780157,257191,203.33
3030,德律科技,136596,202757,183593,-32.63,-25.59,3274841,1426016,129.64
3043,科風,535499,593629,251073,-9.79,113.28,6246007,2473016,152.56
3052,夆典,134303,73029,165570,83.9,-18.88,2083801,2852149,-26.93
3305,昇貿科技,303530,274284,240503,10.66,26.2,3331859,2581338,29.07
3450,聯鈞,216115,207220,148991,4.29,45.05,2505996,1188330,110.88
3518,柏騰科技,19334,16349,23393,18.25,-17.35,481347,448781,7.25
3617,碩天科技,319072,262545,182069,21.53,75.24,3529006,3042754,15.98
6139,亞翔工程,353110,214439,235786,64.66,49.75,4546140,3345214,35.89
6192,巨路國際,332680,501843,271522,-33.7,22.52,4330596,4049368,6.94
6196,帆宣科技,1686660,1094818,541348,54.05,211.56,8237938,4173582,97.38
6197,佳必琪,179121,208456,258625,-14.07,-30.74,3264841,3192320,2.27
6201,亞弘電,251970,277709,293937,-9.26,-14.27,3922140,3665517,7.0
6215,和椿科技,99831,89715,68238,11.27,46.29,1292771,910693,41.95
8021,尖點,97644,91844,73173,6.31,33.44,1211764,915801,32.31
8201,無敵,211878,175657,229967,20.62,-7.86,2482523,2774978,-10.53
合計,合計,264586031,255713101,154154254,3.46,71.63,2560692977,1651328216,55.06
