公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1319,東陽,1821772,1667693,1718070,9.23,6.03,17419079,15994687,8.9,-
1339,昭輝,132045,104153,107365,26.77,22.98,1173606,986592,18.95,-
1512,瑞利,340771,305212,297389,11.65,14.58,3091029,2608165,18.51,-
1521,大億,460159,453572,489690,1.45,-6.03,4109091,3406103,20.63,-
1522,堤維西,1575015,1556910,1505994,1.16,4.58,15343367,13518649,13.49,-
1524,耿鼎,232941,194596,223466,19.7,4.24,2025766,2008971,0.83,-
1525,江申,114190,105554,106311,8.18,7.41,953763,967692,-1.43,-
1533,車王電,228354,247567,211264,-7.76,8.08,2233257,1910111,16.91,-
1536,和大,382177,372494,360191,2.59,6.1,3483489,3052418,14.12,-
1568,倉佑,194318,206001,158084,-5.67,22.92,1816729,1483344,22.47,-
1587,吉茂,95976,92401,113041,3.86,-15.09,1117267,1022919,9.22,-
2201,裕隆,11594301,11302397,7339690,2.58,57.96,98600950,73501213,34.14,-
2204,中華,2809502,2885121,3157171,-2.62,-11.01,31287999,29950989,4.46,-
2206,三陽工業,2813198,3208882,2624732,-12.33,7.18,30959241,27936149,10.82,-
2207,和泰車,13934237,12342626,13496888,12.89,3.24,132235830,120219347,9.99,-
2227,裕日車,2484335,2574841,3039349,-3.51,-18.26,28864852,25436899,13.47,-
2228,劍麟,264584,348712,249602,-24.12,6.0,2938745,2549740,15.25,-
2231,為升,254532,141017,134094,80.49,89.81,1763814,1198402,47.18,-
2233,宇隆,144211,179578,165716,-19.69,-12.97,1655179,1480797,11.77,-
2497,怡利電,354996,297121,313546,19.47,13.21,2995068,2639871,13.45,-
3346,麗清,248893,193846,150892,28.39,64.94,1632508,1342941,21.56,無
4551,智伸科,225543,261132,206185,-13.62,9.38,2305787,1949123,18.29,-
6288,聯嘉,164517,206684,171615,-20.4,-4.13,1663429,1374794,20.99,-
6605,帝寶,1235762,1163206,1215566,6.23,1.66,12137243,11228714,8.09,-
合計,合計,42106329,40411316,37555911,4.19,12.11,401807088,347768630,15.53,
