公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2002,中鋼,32365285,33167382,35003823,-2.41,-7.53,161762298,160328469,0.89,-
2006,東和鋼鐵,4198456,3594361,3121478,16.8,34.5,19300770,15478007,24.69,-
2007,燁興,601588,544030,716769,10.57,-16.06,3016833,3801791,-20.64,-
2008,高興昌,106190,104792,135590,1.33,-21.68,631612,530919,18.96,-
2009,第一銅,230559,196095,280895,17.57,-17.91,1019545,1342013,-24.02,-
2010,春源,1324260,1315862,1774395,0.63,-25.36,6509591,7670038,-15.12,-
2012,春雨,815614,757726,780020,7.63,4.56,3867172,3992205,-3.13,-
2013,中鋼構,1256687,1803066,2069967,-30.3,-39.28,7794965,7870728,-0.96,-
2014,中鴻,4271035,4306539,4176536,-0.82,2.26,20561524,19193861,7.12,-
2015,豐興,2334235,2435220,3002684,-4.14,-22.26,11795963,12366814,-4.61,-
2017,官田鋼,321986,339243,409226,-5.08,-21.31,1786644,1938698,-7.84,-
2020,美亞,286519,349051,440489,-17.91,-34.95,1990772,2015135,-1.2,-
2022,聚亨,1117614,981207,1089051,13.9,2.62,5293670,4060384,30.37,-
2023,燁輝,5298673,5193871,6566692,2.01,-19.3,25663577,31155777,-17.62,-
2024,志聯,97846,117513,133337,-16.73,-26.61,525826,626516,-16.07,-
2025,千興,110381,183543,312038,-39.86,-64.62,582874,1561848,-62.68,本月營收較去年同期減少，主要係國際鎳價下跌，不�袗�市場景氣衰退所致。
2027,大成鋼,7305207,7069434,7190456,3.33,1.59,35708690,36093853,-1.06,-
2028,威致,991765,826360,1020987,20.01,-2.86,4471020,4871226,-8.21,-
2029,盛餘,832203,892533,1035589,-6.75,-19.63,4114754,5290173,-22.21,-
2030,彰源,1084284,964570,1266656,12.41,-14.39,5021417,5619299,-10.63,-
2031,新光鋼,718047,634968,796903,13.08,-9.89,3341966,3863926,-13.5,-
2032,新鋼,234999,222187,257966,5.76,-8.9,1144235,1331370,-14.05,-
2033,佳大,76396,78026,69525,-2.08,9.88,361364,328023,10.16,-
2034,允強,1349318,1438624,1852563,-6.2,-27.16,6810904,8197233,-16.91,-
2038,海光,709582,745003,785698,-4.75,-9.68,3589455,3632835,-1.19,-
2069,運錩,787848,751917,809955,4.77,-2.72,3534329,3642019,-2.95,-
3004,豐達科,255046,225153,179745,13.27,41.89,1115280,845046,31.97,-
5007,三星,503479,588623,672769,-14.46,-25.16,2935309,3339283,-12.09,-
9958,世紀鋼,156604,128912,134064,21.48,16.81,686344,661546,3.74,-
合計,合計,69741706,69955811,76085866,-0.3,-8.33,344938703,351649035,-1.9,
