Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,9.700000,9.850000,9.700000,9.780000,7.701535,233000
2012-06-19,9.750000,9.760000,9.650000,9.650000,7.599163,126000
2012-06-20,9.700000,9.750000,9.650000,9.660000,7.607038,136000
2012-06-21,9.660000,9.680000,9.570000,9.670000,7.614913,94000
2012-06-22,9.810000,10.300000,9.810000,10.300000,8.111024,1156000
2012-06-25,10.350000,10.700000,10.350000,10.350000,8.150399,2062000
2012-06-26,10.350000,10.350000,10.100000,10.100000,7.953529,537000
2012-06-27,10.250000,10.250000,10.100000,10.250000,8.071651,232000
2012-06-28,10.300000,10.300000,10.100000,10.250000,8.071651,214000
2012-06-29,10.200000,10.250000,10.100000,10.250000,8.071651,238000
2012-07-02,10.250000,10.400000,10.150000,10.400000,8.189773,234000
2012-07-03,10.400000,10.450000,10.300000,10.400000,8.189773,232000
2012-07-04,10.400000,10.450000,10.350000,10.400000,8.189773,171000
2012-07-05,10.400000,10.400000,10.250000,10.250000,8.071651,172000
2012-07-06,10.250000,10.350000,10.100000,10.150000,7.992902,163000
2012-07-09,10.250000,10.600000,10.150000,10.300000,8.111024,379000
2012-07-10,10.500000,10.500000,10.200000,10.200000,8.032276,240000
2012-07-11,10.200000,10.300000,10.200000,10.300000,8.111024,80000
2012-07-12,10.200000,10.300000,10.100000,10.100000,7.953529,193000
2012-07-13,10.100000,10.250000,10.050000,10.050000,7.914154,137000
2012-07-16,10.300000,10.300000,10.050000,10.050000,7.914154,117000
2012-07-17,10.200000,10.200000,10.000000,10.000000,7.874780,129000
2012-07-18,10.100000,10.150000,9.970000,10.000000,7.874780,180000
2012-07-19,10.100000,10.100000,9.970000,10.000000,7.874780,156000
2012-07-20,10.000000,10.250000,10.000000,10.150000,7.992902,221000
2012-07-23,10.100000,10.150000,9.910000,10.000000,7.874780,181000
2012-07-24,9.950000,10.000000,9.930000,10.000000,7.874780,251000
2012-07-25,9.950000,10.000000,9.930000,10.000000,7.874780,159000
2012-07-26,10.000000,10.050000,9.960000,10.000000,7.874780,111000
2012-07-27,10.000000,10.150000,10.000000,10.150000,7.992902,140000
2012-07-30,10.150000,10.250000,10.100000,10.150000,7.992902,149000
2012-07-31,10.150000,10.300000,10.100000,10.300000,8.111024,199000
2012-08-01,10.300000,10.300000,10.100000,10.300000,8.111024,419000
2012-08-02,10.300000,10.300000,10.300000,10.300000,8.111024,0
2012-08-03,10.300000,10.600000,10.250000,10.450000,8.229145,562000
2012-08-06,10.600000,10.900000,10.600000,10.750000,8.465389,973000
2012-08-07,10.800000,11.000000,10.750000,10.900000,8.583510,912000
2012-08-08,10.900000,11.100000,10.800000,10.950000,8.622884,393000
2012-08-09,10.950000,11.000000,10.800000,10.950000,8.622884,376000
2012-08-10,11.200000,11.500000,11.100000,11.250000,8.859129,1836000
2012-08-13,11.250000,11.550000,11.100000,11.450000,9.016623,1359000
2012-08-14,11.450000,11.700000,11.400000,11.550000,9.095371,1201000
2012-08-15,11.600000,11.650000,11.450000,11.600000,9.134746,532000
2012-08-16,11.600000,11.700000,11.450000,11.600000,9.134746,886000
2012-08-17,11.600000,11.650000,11.450000,11.600000,9.134746,1032000
2012-08-20,11.600000,11.650000,11.450000,11.550000,9.095371,1208000
2012-08-21,11.500000,11.600000,11.400000,11.500000,9.055997,739000
2012-08-22,11.450000,11.450000,11.100000,11.350000,8.937878,752000
2012-08-23,11.200000,11.200000,11.050000,11.050000,8.701633,399000
2012-08-24,11.000000,11.000000,10.700000,10.900000,8.583510,548000
2012-08-27,10.900000,11.050000,10.900000,11.000000,8.662259,559000
2012-08-28,11.000000,11.050000,10.700000,10.850000,8.544137,523000
2012-08-29,10.800000,10.900000,10.800000,10.850000,8.544137,267000
2012-08-30,10.850000,11.050000,10.850000,10.950000,8.622884,292000
2012-08-31,10.900000,11.150000,10.900000,10.950000,8.622884,609000
2012-09-03,11.100000,11.300000,11.000000,11.200000,8.819754,568000
2012-09-04,11.250000,11.350000,11.200000,11.250000,8.859129,451000
2012-09-05,11.250000,11.300000,11.100000,11.200000,8.819754,314000
2012-09-06,11.200000,11.400000,11.150000,11.150000,8.780380,403000
2012-09-07,11.350000,11.450000,11.300000,11.450000,9.016623,380000
2012-09-10,11.500000,11.600000,11.300000,11.550000,9.095371,540000
2012-09-11,12.000000,12.000000,11.700000,11.800000,9.292242,1440000
2012-09-12,11.850000,11.950000,11.750000,11.750000,9.252867,764000
2012-09-13,11.750000,11.800000,11.600000,11.600000,9.134746,526000
2012-09-14,11.750000,11.850000,11.700000,11.700000,9.213492,590000
2012-09-17,11.750000,11.800000,11.700000,11.750000,9.252867,425000
2012-09-18,11.650000,11.950000,11.650000,11.700000,9.213492,453000
2012-09-19,11.700000,11.750000,11.600000,11.650000,9.174120,412000
2012-09-20,11.650000,11.750000,11.650000,11.650000,9.174120,352000
2012-09-21,11.800000,11.800000,11.400000,11.500000,9.055997,403000
2012-09-24,11.500000,12.300000,11.500000,12.300000,9.685981,2928000
2012-09-25,12.500000,12.750000,12.050000,12.300000,9.685981,2962000
2012-09-26,12.150000,12.550000,12.150000,12.250000,9.646606,2529000
2012-09-27,12.150000,12.400000,12.150000,12.300000,9.685981,1165000
2012-09-28,12.350000,12.600000,12.300000,12.400000,9.764728,1202000
2012-10-01,12.400000,12.450000,12.050000,12.050000,9.489110,538000
2012-10-02,12.050000,12.200000,11.900000,11.950000,9.410362,640000
2012-10-03,12.050000,12.150000,11.950000,11.950000,9.410362,686000
2012-10-04,12.000000,12.100000,11.700000,11.900000,9.370989,1697000
2012-10-05,11.900000,11.950000,11.650000,11.750000,9.252867,718000
2012-10-08,11.900000,11.900000,11.550000,11.550000,9.095371,386000
2012-10-09,11.550000,11.700000,11.400000,11.400000,8.977248,634000
2012-10-11,11.300000,11.350000,10.900000,11.200000,8.819754,1258000
