公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1432,大魯閣,45419,48736,13760,-6.8,230.07,45419,13760,230.07,104/7起增加百貨業事業體
2601,益航,825951,602077,775586,37.18,6.49,825951,775586,6.49,-
2614,東森,1008657,1089331,1055773,-7.4,-4.46,1008657,1055773,-4.46,合併營收較同期減少:主要係航運事業部船舶艘數營運數量減少所致。
2901,欣欣,11327,11021,11084,2.77,2.19,11327,11084,2.19,-
2903,遠百,3864596,3818110,3437900,1.21,12.41,3864596,3437900,12.41,-
2905,三商,20837342,20163192,21805217,3.34,-4.43,20837342,21805217,-4.43,-
2906,高林,542632,452625,565942,19.88,-4.11,542632,565942,-4.11,-
2908,特力,3666990,3089661,3255143,18.68,12.65,3666990,3255143,12.65,-
2910,統領,55486,46931,52314,18.22,6.06,55486,52314,6.06,-
2911,麗嬰房,938260,731716,849514,28.22,10.44,938260,849514,10.44,-
2912,統一超,17381327,17869444,16036231,-2.73,8.38,17381327,16036231,8.38,-
2913,農林,62396,72217,95226,-13.59,-34.47,62396,95226,-34.47,104/6開始減少1間子公司營收合併
2915,潤泰全,617786,895518,530103,-31.01,16.54,617786,530103,16.54,"本公司將子公司投資香港高鑫公司之投資收益列為營業收入,因高鑫公司尚未對外公告本季財務資訊,故本公司未列計是項投資收益。"
8443,阿瘦,179506,157389,190561,14.05,-5.8,179506,190561,-5.8,-
8454,富邦媒,2687215,2422016,2212546,10.94,21.45,2687215,2212546,21.45,-
合計,合計,52724890,51469984,50886900,2.43,3.61,52724890,50886900,3.61,
