公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2616,山隆通運,1328705,1387056,1179731,-4.2,12.62,12159922,10667536,13.98
6505,台塑石化,47726474,33274914,48452849,43.43,-1.49,595680541,568616274,4.75
8926,台汽電,100129,109539,98416,-8.59,1.74,785213,775725,1.22
9908,大台北,379043,348145,331093,8.87,14.48,3536271,3444256,2.67
9918,欣天然,169647,166496,107373,1.89,57.99,1950023,1821548,7.05
9926,新海瓦斯,180480,152811,173177,18.1,4.21,1793950,1770343,1.33
9931,欣高,88815,101216,100386,-12.25,-11.52,908557,839858,8.17
9937,全國,2638019,2573505,2324976,2.5,13.46,23487170,20344624,15.44
合計,合計,52611312,38113682,52768001,38.03,-0.29,640301647,608280164,5.26
