公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2208,台船公司,2571596,2693361,2210787,-4.52,16.32,26469850,23471363,12.77
2603,長榮海運,1329772,1334569,1273798,-0.35,4.39,13145698,12637527,4.02
2605,新興,7484,8795,16622,-14.9,-54.97,142535,226110,-36.96
2606,裕民,111859,139394,140810,-19.75,-20.56,1329931,1287081,3.32
2607,榮運,374433,385050,346915,-2.75,7.93,3666590,3573085,2.61
2608,嘉里大榮,568777,556043,489772,2.29,16.13,5328237,4968387,7.24
2609,陽明海運,9555558,10178910,8529434,-6.12,12.03,89511350,82004563,9.15
2610,華航,10365597,10526674,11454537,-1.53,-9.5,110756314,110234543,0.47
2611,志信,36830,43603,34468,-15.53,6.85,2808291,358029,684.37
2612,中航,116860,118632,136794,-1.49,-14.57,1211579,1397519,-13.3
2613,中櫃,202189,203745,196558,-0.76,2.86,1922671,1994442,-3.59
2615,萬海,4596963,4903538,5171567,-6.25,-11.11,47668987,52774380,-9.67
2617,台航,167318,160418,164273,4.3,1.85,1762971,1424188,23.78
2618,長榮航空,8585811,8635059,8478481,-0.57,1.26,89168116,85697177,4.05
2634,漢翔公司,2379127,2210817,1894485,7.61,25.58,19185463,14971478,28.14
5607,遠雄港,12099,16145,-1594,-25.06,859.03,98549,34104,188.96
5608,四維航業,55005,55102,55595,-0.17,-1.06,534087,524195,1.88
6702,復興航空,794861,726323,746302,9.43,6.5,7899757,7276819,8.56
合計,合計,41832139,42896178,41339604,-2.48,1.19,422610976,404854990,4.38
