公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2347,聯強國際,5856098,5035498,4490061,16.29,30.42,53951155,48291030,11.72
2348,海悅,6828,7336,8004,-6.92,-14.69,127708,209106,-38.92
2414,精技電腦,1120252,1195746,1127970,-6.31,-0.68,11216244,10996973,1.99
2430,燦坤實業,1747509,2162484,2007828,-19.18,-12.96,23987294,23912789,0.31
2459,敦吉,546787,569716,762565,-4.02,-28.29,6732161,6424533,4.78
3010,華立,1927573,1776989,1646044,8.47,17.1,19336158,19280316,0.28
3028,增你強,1543948,1588131,2297591,-2.78,-32.8,14293969,23464208,-39.08
3033,威健,1398703,1634358,1293014,-14.41,8.17,13736701,15569835,-11.77
3036,文曄科技,5346939,6051772,4905093,-11.64,9.0,52713050,51487994,2.37
3040,遠見,7226,9930,14413,-27.23,-49.86,76623,139918,-45.23
3048,益登,2413788,2499637,1909603,-3.43,26.4,20746284,19646358,5.59
3055,蔚華科技,258046,151326,163578,70.52,57.75,1964774,2756404,-28.71
3209,全科,1220456,1447050,845710,-15.65,44.31,9985938,7980314,25.13
3312,弘憶國際,1337234,1147675,919647,16.51,45.4,10855386,10026683,8.26
3315,宣昶,382207,487773,370424,-21.64,3.18,4505352,4472493,0.73
3702,大聯大,386997,478432,421159,-19.11,-8.11,4373554,4846707,-9.76
5434,崇越科技,1072507,1182540,992811,-9.3,8.02,11633456,11277721,3.15
6145,勁永國際,221924,176312,474168,25.87,-53.19,2156580,5351193,-59.69
6189,豐藝電子,1542287,1796730,1427376,-14.16,8.05,15757058,14919587,5.61
6281,全國電,954270,1060699,901780,-10.03,5.82,12774299,10784109,18.45
8070,長華電材,798309,732475,724566,8.98,10.17,8118087,9111984,-10.9
8112,至上電子,1438208,1429899,2157472,0.58,-33.33,13918925,22698573,-38.67
合計,合計,31528096,32622508,29860877,-3.35,5.58,312960756,323648828,-3.3
